timestamp,interval,data,direction,jitter
1755183555.939916,0.00995779037475586,00DC050000,T,0.0001552104949951172
1755183555.949874,0.009958028793334961,00DC050000,T,2.384185791015625e-07
1755183555.959873,0.00999903678894043,00DC050000,T,4.100799560546875e-05
1755183555.969957,0.010084152221679688,00DC050000,T,8.511543273925781e-05
1755183555.97995,0.009992837905883789,00DC050000,T,9.131431579589844e-05
1755183555.989838,0.009887933731079102,00DC050000,T,0.0001049041748046875
1755183555.999912,0.010074138641357422,00DC050000,T,0.0001862049102783203
1755183556.009833,0.009921073913574219,00DC050000,T,0.00015306472778320312
1755183556.019812,0.009979009628295898,00DC050000,T,5.793571472167969e-05
1755183556.029871,0.010058879852294922,00DC050000,T,7.987022399902344e-05
1755183556.039879,0.010008096694946289,00DC050000,T,5.078315734863281e-05
1755183556.049849,0.009969949722290039,00DC050000,T,3.814697265625e-05
1755183556.059852,0.010002851486206055,00DC050000,T,3.2901763916015625e-05
1755183556.069898,0.010046005249023438,00DC050000,T,4.315376281738281e-05
1755183556.079883,0.009985208511352539,00DC050000,T,6.079673767089844e-05
1755183556.089878,0.009994983673095703,00DC050000,T,9.775161743164062e-06
1755183556.100042,0.010164022445678711,00DC050000,T,0.0001690387725830078
1755183556.109874,0.009831905364990234,00DC050000,T,0.00033211708068847656
1755183556.119866,0.009991884231567383,00DC050000,T,0.00015997886657714844
1755183556.129847,0.009981155395507812,00DC050000,T,1.0728836059570312e-05
1755183556.139852,0.010004997253417969,00DC050000,T,2.384185791015625e-05
1755183556.150061,0.010208845138549805,00DC050000,T,0.00020384788513183594
1755183556.159967,0.00990605354309082,00DC050000,T,0.0003027915954589844
1755183556.169864,0.009896993637084961,00DC050000,T,9.059906005859375e-06
1755183556.179962,0.010097980499267578,00DC050000,T,0.0002009868621826172
1755183556.189883,0.009921073913574219,00DC050000,T,0.00017690658569335938
1755183556.199849,0.009965896606445312,00DC050000,T,4.482269287109375e-05
1755183556.21005,0.010201215744018555,00DC050000,T,0.0002353191375732422
1755183556.219902,0.009851932525634766,00DC050000,T,0.00034928321838378906
1755183556.229975,0.010072946548461914,00DC050000,T,0.00022101402282714844
1755183556.239928,0.009953022003173828,00DC050000,T,0.00011992454528808594
1755183556.249851,0.009922981262207031,00DC050000,T,3.0040740966796875e-05
1755183556.259899,0.01004791259765625,00DC050000,T,0.00012493133544921875
1755183556.269897,0.009998083114624023,00DC050000,T,4.982948303222656e-05
1755183556.279841,0.009943962097167969,00DC050000,T,5.412101745605469e-05
1755183556.289862,0.010020971298217773,00DC050000,T,7.700920104980469e-05
1755183556.299927,0.010065078735351562,00DC050000,T,4.410743713378906e-05
1755183556.309835,0.009907960891723633,00DC050000,T,0.0001571178436279297
1755183556.31987,0.010035037994384766,00DC050000,T,0.0001270771026611328
1755183556.329813,0.009943008422851562,00DC050000,T,9.202957153320312e-05
1755183556.340576,0.010762929916381836,00DC050000,T,0.0008199214935302734
1755183556.349855,0.009279012680053711,00DC050000,T,0.001483917236328125
1755183556.359869,0.010014057159423828,00DC050000,T,0.0007350444793701172
1755183556.369855,0.009985923767089844,00DC050000,T,2.8133392333984375e-05
1755183556.37979,0.009935140609741211,00DC050000,T,5.078315734863281e-05
1755183556.389932,0.010141849517822266,00DC050000,T,0.0002067089080810547
1755183556.399857,0.009925127029418945,00DC050000,T,0.0002167224884033203
1755183556.409856,0.00999903678894043,00DC050000,T,7.390975952148438e-05
1755183556.41996,0.010103940963745117,00DC050000,T,0.0001049041748046875
1755183556.430017,0.01005697250366211,00DC050000,T,4.696846008300781e-05
1755183556.439898,0.009881019592285156,00DC050000,T,0.00017595291137695312
